체크ID,회계기간,사업부,계정과목,담당자,체크항목,완료여부,완료일,지연일수,검토횟수,최종승인
161,2026-06,OLED,미지급금,최대리,리스 검토,Y,2026-01-03,2,1,Y
162,2026-10,제약,미지급금,박과장,재고 검토,N,2026-11-17,1,3,Y
163,2026-03,제약,리스부채,최대리,법인카드 대사,Y,2026-09-16,0,1,N
164,2026-06,OLED,선급금,박과장,선급금 검토,Y,2026-06-19,2,4,Y
165,2026-04,OLED,리스부채,김대리,미지급금 검토,Y,2026-11-15,0,4,Y
166,2026-09,OLED,미지급금,박과장,재고 검토,Y,2026-01-13,3,4,Y
167,2026-09,OLED,부가세예수금,정사원,예금잔액 확인,Y,2026-03-27,2,1,Y
168,2026-07,제약,현금,김대리,선급금 검토,Y,2026-12-17,1,4,Y
169,2026-01,제약,선급금,이대리,감가상각 계산,N,2026-02-07,2,1,Y
170,2026-07,제약,감가상각비,최대리,미지급금 검토,Y,2026-11-19,1,1,N
171,2026-01,제약,미지급금,김대리,미지급금 검토,N,2026-10-27,2,1,N
172,2026-08,제약,리스부채,최대리,법인카드 대사,Y,2026-05-25,0,1,N
173,2026-05,OLED,선급금,이대리,감가상각 계산,Y,2026-10-07,3,3,Y
174,2026-01,OLED,미지급금,정사원,법인카드 대사,Y,2026-01-22,3,1,N
175,2026-09,OLED,부가세예수금,이대리,리스 검토,Y,2026-11-27,3,2,Y
176,2026-11,제약,리스부채,정사원,예금잔액 확인,Y,2026-04-03,0,4,Y
177,2026-06,OLED,매출채권,이대리,선급금 검토,Y,2026-06-19,2,1,N
178,2026-06,제약,선급금,정사원,감가상각 계산,Y,2026-08-19,1,2,N
179,2026-12,제약,감가상각비,최대리,감가상각 계산,Y,2026-12-31,1,3,Y
180,2026-08,제약,리스부채,박과장,감가상각 계산,Y,2026-08-25,1,4,Y
181,2026-04,OLED,미지급금,박과장,매출채권 대사,Y,2026-10-03,3,1,Y
182,2026-10,제약,부가세예수금,최대리,선급금 검토,N,2026-10-25,1,1,N
183,2026-10,OLED,미지급금,박과장,리스 검토,Y,2026-04-25,0,4,Y
184,2026-10,OLED,미지급금,이대리,리스 검토,N,2026-05-03,2,4,Y
185,2026-06,OLED,미지급금,김대리,선급금 검토,Y,2026-09-05,1,4,Y
186,2026-04,OLED,리스부채,정사원,미지급금 검토,Y,2026-12-09,0,4,N
187,2026-11,제약,매출채권,박과장,감가상각 계산,Y,2026-09-24,2,2,N
188,2026-09,제약,리스부채,박과장,법인카드 대사,Y,2026-02-09,1,2,N
189,2026-09,OLED,현금,이대리,재고 검토,Y,2026-01-04,1,2,Y
190,2026-03,OLED,부가세예수금,이대리,미지급금 검토,Y,2026-03-18,3,1,Y
191,2026-10,OLED,리스부채,이대리,법인카드 대사,Y,2026-04-18,2,1,Y
192,2026-11,OLED,미지급금,정사원,예금잔액 확인,Y,2026-03-10,1,2,Y
193,2026-01,OLED,선급금,박과장,매출채권 대사,Y,2026-11-23,1,2,N
194,2026-04,제약,감가상각비,최대리,리스 검토,Y,2026-03-29,0,2,N
195,2026-07,OLED,부가세예수금,최대리,리스 검토,Y,2026-04-28,1,1,Y
196,2026-07,OLED,현금,이대리,매출채권 대사,Y,2026-12-17,3,2,N
197,2026-02,제약,미지급금,최대리,리스 검토,Y,2026-03-02,2,1,N
198,2026-09,OLED,리스부채,최대리,선급금 검토,Y,2026-12-24,2,4,N
199,2026-07,OLED,현금,이대리,감가상각 계산,Y,2026-02-20,2,4,Y
200,2026-07,제약,매출채권,박과장,선급금 검토,Y,2026-10-06,0,1,Y
201,2026-07,OLED,매출채권,박과장,매출채권 대사,Y,2026-06-11,1,2,N
202,2026-07,제약,리스부채,정사원,미지급금 검토,Y,2026-10-02,0,3,N
203,2026-09,제약,감가상각비,최대리,감가상각 계산,Y,2026-10-14,0,3,N
204,2026-02,제약,감가상각비,이대리,재고 검토,Y,2026-12-04,0,2,Y
205,2026-12,OLED,감가상각비,김대리,리스 검토,Y,2026-12-17,2,4,Y
206,2026-07,제약,현금,김대리,매출채권 대사,Y,2026-11-04,0,3,Y
207,2026-11,OLED,미지급금,정사원,감가상각 계산,Y,2026-11-11,3,1,Y
208,2026-09,제약,감가상각비,박과장,선급금 검토,N,2026-12-03,1,1,Y
209,2026-02,제약,부가세예수금,박과장,법인카드 대사,N,2026-03-22,1,3,N
210,2026-02,OLED,선급금,김대리,감가상각 계산,Y,2026-12-27,2,3,N
211,2026-10,제약,리스부채,김대리,감가상각 계산,Y,2026-07-26,1,2,N
212,2026-06,OLED,미지급금,김대리,감가상각 계산,N,2026-05-31,5,3,N
213,2026-11,제약,미지급금,최대리,예금잔액 확인,Y,2026-08-23,0,4,Y
214,2026-11,OLED,감가상각비,이대리,미지급금 검토,Y,2026-04-23,2,4,N
215,2026-11,OLED,매출채권,박과장,매출채권 대사,Y,2026-07-24,2,2,N
216,2026-03,OLED,선급금,이대리,재고 검토,Y,2026-05-18,1,2,Y
217,2026-06,제약,현금,이대리,매출채권 대사,Y,2026-11-13,0,1,Y
218,2026-09,제약,부가세예수금,김대리,재고 검토,Y,2026-01-04,1,3,N
219,2026-05,OLED,미지급금,최대리,선급금 검토,Y,2026-09-19,3,2,Y
220,2026-01,OLED,감가상각비,정사원,미지급금 검토,Y,2026-10-04,1,4,Y
221,2026-11,OLED,매출채권,이대리,법인카드 대사,Y,2026-01-07,2,1,N
222,2026-05,OLED,현금,이대리,감가상각 계산,Y,2026-10-08,1,4,N
223,2026-07,OLED,감가상각비,박과장,재고 검토,Y,2026-07-06,1,2,Y
224,2026-12,제약,부가세예수금,박과장,선급금 검토,Y,2026-02-21,1,4,N
225,2026-07,OLED,현금,최대리,리스 검토,Y,2026-04-01,3,3,N
226,2026-07,OLED,미지급금,김대리,리스 검토,Y,2026-01-25,2,1,Y
227,2026-06,제약,감가상각비,박과장,감가상각 계산,Y,2026-05-14,1,3,Y
228,2026-04,OLED,리스부채,정사원,리스 검토,Y,2026-11-07,2,3,N
229,2026-10,OLED,미지급금,박과장,재고 검토,Y,2026-07-15,0,2,Y
230,2026-10,제약,리스부채,최대리,매출채권 대사,Y,2026-11-10,0,1,Y
231,2026-07,OLED,리스부채,박과장,재고 검토,Y,2026-11-27,2,3,N
232,2026-12,OLED,선급금,이대리,감가상각 계산,Y,2026-03-06,3,1,Y
233,2026-01,OLED,매출채권,최대리,매출채권 대사,Y,2026-01-28,4,1,N
234,2026-05,제약,매출채권,이대리,선급금 검토,Y,2026-07-19,2,3,N
235,2026-06,제약,선급금,최대리,재고 검토,N,2026-07-02,0,3,N
236,2026-10,OLED,부가세예수금,최대리,법인카드 대사,Y,2026-10-30,2,3,N
237,2026-03,OLED,선급금,박과장,예금잔액 확인,Y,2026-05-14,2,1,Y
238,2026-08,OLED,감가상각비,최대리,감가상각 계산,Y,2026-12-19,1,1,N
239,2026-09,제약,미지급금,최대리,법인카드 대사,Y,2026-07-30,0,2,Y
240,2026-04,제약,부가세예수금,박과장,매출채권 대사,Y,2026-07-13,0,4,Y
